cone,known_x_m,known_y_m,mapped_x_m,mapped_y_m,fit_error_m
9,6.0,0.0,5.962507571510951,-0.009605591043550958,0.038703353514939746
10,2.0,0.0,2.075748452938426,0.003375013242667988,0.07582360342896592
11,0.0,6.5,-0.03312844055696512,6.504049702609667,0.033375045542487464
12,0.0,13.5,-0.049215563732895234,13.51104441301628,0.05043957545837261
13,2.0,20.0,2.053533639752907,19.96759373688393,0.0625780830190725
14,5.0,20.0,4.99055458616685,20.02354289161219,0.0253669782974411
